Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,VISA USA,,,,,,,,,
,,,,,,,,,,
,OBJETO,MENSAJE PARA COLOMBIA,,,,,,,,MENSAJE PARA COSTA RICA
,INFO INICIAL,"Nuestra asesoría para visa canadiense 🇨🇦 consta de tres fases:

➡️ Fase #1:
- Realizamos una asesoría inicial en la que revisamos el perfil de la(s) persona(s) solicitante(s) y les explicamos todo el proceso de aplicación al visado canadiense  👤
- Enviamos un archivo que indica los documentos que debe recolectar, realizar y/o solicitar cada persona, según el perfil anteriormente analizado 📝

Los documentos los vamos revisando y cuando ya tengas todos en orden, 🏢🏃 pasas por la oficina y llevamos a cabo la segunda fase de la asesoría.

➡️ Fase #2:
- Efectuamos el pago de los derechos de visa y biométricos 
- Agendamos la cita para ir a tomar los biométricos en Bogotá, Medellín o Cali.

Una vez asistas a la cita de biométricos, 🏢🏃 pasas por la oficina y llevamos a cabo la última fase de la asesoría.

➡️ Fase #3:
- Completamos el formulario de aplicación al visado 📂
- ⁠Esperamos una respuesta de la embajada y, una vez aprobada, enviamos el pasaporte a la embajada canadiense para que estampe la visa 👍",,,,,,,,"Buenas tardes, para trámite de visa americana B1B2 Turismo/Negocios debes tener en cuenta lo siguiente: 
El costo de la asesoría para la VISA a tramitar es de 50usd, con lo cual realizaremos dos asesorías, la primera, donde haremos el llenado del formulario y perfil del aplicante (acá se realiza la respectivas recomendaciones y se diligencia el formulario), en ésta misma se haría el pago de los derechos de VISA a la embajada 185USD (98.150 colones aprox) aproximadamente y se agendan las DOS citas para ir a San José a presentarse ante la embajada. 
Unos días antes que vayas a San José a tu cita, pasas por la oficina y hacemos la segunda asesoría donde revisaremos dudas y preguntas que tengas, te indicaremos como funciona todo llegando a San Jose, posibles preguntas y también revisaremos documentos soportes los cuales llevarás junto con su aplicación.
-IMPORTANTE- ICE y ninguno de sus asesores puede asegurarte a un 100% la aprobación de la visa, ya que la decisión siempre es tomada por el CONSÚL, pero si podemos ofrecerte una asesoría personalizada para que tengas una mayor probabilidad de aprobación."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Requisitos: - Pasaporte vigente. - Disponibilidad de 45 minutos para realizar cada formulario. - El pago inicial de los dos valores correspondientes de asesoría y visado (Transferencia a nuestros canales de pago).
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,DERECHOS DE VISA ACTUALIZADOS: 98.150 Colones Aprox
,,,,,,,,,,"Recuerda tener en cuenta ésta información:
-Motivo de viaje, con fecha estimada y dirección de llegada (ciudad, estado, código postal), duración de la estadía en USA.
-Fechas de nacimiento de los papás del aplicante (mes/día/año).
-Fechas de entradas y salidas de los viajes previos.
-Foto de visas previas (si ha tenido).
-Información del Colegio, Universidad y Profesión. (Dirección, fechas de inicio/finalización)
-Referencia de trabajo por un colega o superior (si aplica)
- Si se es INDEPENDIENTE, información legal vigente."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Correo encargado de los pagos de la embajada,asa_contactus+co+info+es@visaops.net,,,,,,,,
,,,,,,,,,,
,"Correo sección consular Colombia, Bogotá",NIVBogota@state.gov,,,,,,,,
,,BogotaNIVAdminProcess@state.gov,,,,,,,,
,,,,,,,,,,
,Teléfono Embajada,6015088165,,,,,,,,
,,,,,,,,,,
,"Correo sección consular Perú, Lima",51 1 61820000,,,,,,,,
,,asa_contactus+pe+info+es@visaops.net,,,,,,,,
