Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,"STUDY, WORK AND LIVE IN CANADA",,
,,,
,OBJETO,MENSAJE,
,INFO INICIAL,"Study, work and live in Canada 🇨🇦, es una oportunidad de intercambio que te brinda la posibilidad de estudiar en varias áreas y niveles, con permiso de trabajo 💼y aplicar a la residencia canadiense mediante una ruta que se ajuste a tu perfil, intereses y necesidades.",
,,,
,,,
,REQUISITOS,"⚠️ Para aplicar a este programa debes cumplir los siguientes requisitos generales:                        
✔️ Contar con pasaporte vigente                        
✔️ Tener un nivel de inglés avanzado                        ",
,,,
,,,
,,,
,SUB-PROGRAMAS,"1️⃣ MasterTech Path: Estudios desde técnicos hasta posgrados, maestrías, etc. 📚                        
2️⃣ Care Assistant: Eduación continua relacionada con el cuidado del adulto mayor 👴                        
3️⃣ Early Childhood: Educación continua relacionada con la primera infancia 👩‍👦‍👦",
,,,
,,,
,,,
,COLLEGES,SELC College,
,,Greystone,
,,CCTB,
,,Oxford Int North America,https://oicolleges.com/vancouver/
,PARTNERSHIP,Agencia Consultoría e Intercambio,
