Unnamed: 0,LISTA DE PRECIOS ICE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
PAÍS DESTINO,NOMBRE DEL PROGRAMA/SERVICIO,PROVEEDOR/SPONSOR,PRECIO 2024,PRECIO 2025,DESCUENTO CONVENIOS VIGENTES,OBSERVACIONES,,,,,
COLOMBIA,,,,,,,,,,,
USA,Asesoría para visa turismo,,,250.000 cop + 185 USD,15% sobre el valor de la asesoría,Formulario adicional +100.000. Grupo de 3+ 230 c/u. Grupo 5+ 210.000,,,DESCUENTO CONVENIOS VIGENTES,,
,Reaplicaciòn para visa de turismo,,,150.000 cop + 185 USD,,,,,,,
,"Asesorías para otras visas (J1,F1,H2B)",,,300.000cop + Derechos de visa,15% sobre el valor de la asesoría,,,,NOMBRE,DIRECCIÓN,VIGENCIA
,Work and Travel USA,"ERDT, Signature, Life Adventures, American World Adventures",,2100usd + Inscripción (200.000 cop),Bono 100USD,,,,COLOMBIA,,
,Au Pair USA,InterExchange,,4'150.000 cop,Bono 100USD,,,,PractiCar,Bucaramanga,2024
,Intern and Trainee USA,CetUSA,,4.650usd,Bono 100USD,Precios según duración del contrato,,,,,
,Intern and Trainee España,Live it out,,1.800EUR Agosto 2024,Bono 100EUR,Pendiente actualizaciòn precio 2025/No hay brochure,,,,,
,Camp Counselor,,,1.850usd + Inscripción (200.000),Bono 100USD,,,,,,
,Escuela de idiomas en USA,"New York Languages Center, UCCEDA, Mentor langueges institute, US.LING,EXCEL ENGLISH INSTITUTE",,Precio dependiendo del lugar y la duración + 180USD (Agenciamiento),Descuento 30% sobre el valor del agenciamiento,Revisar precios de escuelas y actualizar cotizaciones,,,,,
,H2-B,Bolsa de empleo VIGO,,200.000cop + 680usd,A definir,"Cambiar brochure, actualizar en marzo 2025",,,,,
CANADÁ,"Study, Work and Live: MasterTech",Consultoría e intercambio,,,,Coger los links y sacar pecios de los colleges,,,,,
,"Study, Work and Live: Care Assistant",Consultoría e intercambio,,,,Coger los links y sacar pecios de los colleges,,,,,
,"Study, Work and Live: Early Childhood",Consultoría e intercambio,,,,Coger los links y sacar pecios de los colleges,,,,,
,Escuela de idiomas,English Path/CES,,,,Estandarizar cotizaciones,,,,,
,Summer Camp,CES,,Precio dependiendo del lugar,Bono 500 USD/EUR/GBP para grupos de 10 o más participantes,Estandarizar cotizaciones,,,,,
,Asesoría para visa de turismo,Consultoría e intercambio,,700.000 cop + 185 CAD,,,,,,,
MALTA,Escuela de idiomas,English Path,,,,Estandarizar cotizaciones,,,,,
DUBAI,Escuela de idiomas,English Path,,,,Estandarizar cotizaciones,,,,,
IRLANDA,Escuela de idiomas,English Path/CES,,,,Estandarizar cotizaciones,,,,,
,Summer Camp,CES,,,,Estandarizar cotizaciones,,,,,
ESCOCIA,Escuela de idiomas,CES,,,,Estandarizar cotizaciones,,,,,
,Summer Camp,CES,,,,Estandarizar cotizaciones,,,,,
INGLATERRA,Escuela de idiomas,English Path/CES,,,,Estandarizar cotizaciones,,,,,
,Escuela de idiomas,CES,,,,Estandarizar cotizaciones,,,,,
ALEMANIA,Escuela de idiomas,English Path,,,,Estandarizar cotizaciones,,,,,
FRANCIA,Escuela de idiomas,English Path,,,,Estandarizar cotizaciones,,,,,
COLOMBIA,Rumbo Colombia: Medellín,,,,,,,,,,
,Rumbo Colombia: San Andrés,,,,,,,,,,
,Rumbo Colombia: Cartagena,,,,,,,,,,
,Rumbo Colombia: Eje Cafetero,,,,,,,,,,
,Rumbo Colombia: Santa Marta,,,,,,,,,,
,Rumbo Colombia: Guajira,,,,,,,,,,
,Rumbo Colombia: Amazonas,,,,,,,,,,
SERVICIOS COMPLEMENTARIOS,Seguro médico internacional,Assist Card,,"Precio dependiendo del continente, país y número de días junto con el tipo de cobertura",Descuento 10%,Pedir actualizaciòn de precios,,,,,
,Curso presencial estandar de profundización en inglés conversacional (40 horas),,,880.000 cop,Descuento 10%,,,,,,
,Curso presencial intensivo de profundización en inglés conversacional (70 horas),,,1'540.000cop,Descuento 10%,,,,,,
,Curso presencial super-intensivo de profundización en inglés conversacional (150 horas),,,2'530.000 COP,,,,,,,
