Unnamed: 0,Unnamed: 1,Unnamed: 2
,SEGUIMIENTO PARTICIPANTES EN USA,
,,
,,
,SEGUIMIENTO 1,"¡Hola participante ICE! 😊
Esperamos que estés disfrutando al máximo esta increíble experiencia Work and Travel 2025.

Nos encantaría saber: 
¿Cómo te has sentido hasta ahora en esta aventura?
¿Todo ha marchado con normalidad? 
¿Hay algo que quieras compartirnos sobre tu día a día, el lugar donde estás o las personas que has conocido?

Y si tienes fotos o videos de tu experiencia, ¡nos encantaría verlos! 📸🎥

Estamos muy atentos a tu respuesta 🥰"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,MONTHLY CHECK-IN,"URGENTE: Monthly Check-in AWA

Hola Traveler,

Nos gustaría asegurarnos de que todo está en orden con tu llegada a los Estados Unidos🇺🇸🤗.

Es muy importante que hayas realizado tu Monthly Check-in en tu plataforma de AWA, esto con el fin de mantener el Status Activo, recuerda realizarlo los 5 primeros dias de cada mes. Sino lo realizas a tiempo, puedes correr el riesgo de la cancelacion de tu programa. 

Por favor, confírmanos una vez que hayas realizado este procedimiento. 

Estaremos atentos,
TeamICE"
